"general information: reqFlex =1.5, carFlex=1.2, NumReq: NumCar =1:2, testcases collect from Jan3,10,17,24"
Num Car/day,feasible request(%),tranfered(%)
24,0.0,0
47,0.0,0
94,2.127659574468085,0.0
117,3.389830508474576,0.0
234,7.6923076923076925,0.0
467,14.52991452991453,0.0
933,24.62526766595289,3.4782608695652173
1167,26.883561643835616,3.1847133757961785
2333,39.41730934018852,3.4782608695652173
4665,54.30775825117874,4.89344909234412
9329,65.7449088960343,5.119008803390936
11661,70.36528897273195,5.532537167925907
23321,80.9107280679187,5.246422893481717
31095,83.86827040586608,5.383848454636092
46642,88.07083744264825,4.805491990846682
93283,92.91610385712141,4.375014421856612
