day,reqWaitTime,reqDis,CarWaitTime,carDis,Rides,NumCar,NumReq,C:R ratio,carFlex,ReqFlex,NumFeasible,totalCPUtime,tranferTimes
1,358229,11501878,1753779,16769761,34096,22731,11365,2,1.2,1.5,8778,319.3898093,650
2,226936,7537256,1168114,11167039,22594,15063,7531,2,1.2,1.5,5473,70.92107625,363
3,285885,9398349,1420823,13801203,29589,19726,9863,2,1.2,1.5,7496,143.6404135,443
4,293611,8953075,1376152,13544178,29076,19384,9692,2,1.2,1.5,7174,114.2123566,456
5,231165,7074979,1086578,10650197,22097,14732,7365,2,1.2,1.5,5013,60.02932741,377
6,237098,7085214,1092414,10635937,22097,14732,7365,2,1.2,1.5,5025,64.24344746,373
7,268734,9122632,1436712,13208929,24412,16275,8137,2,1.2,1.5,6151,123.4017524,407
8,268836,11074171,1792261,15902455,29807,19872,9935,2,1.2,1.5,7699,193.9109691,452
9,270680,11131675,1804078,15923793,29807,19872,9935,2,1.2,1.5,7736,190.2452035,422
10,267684,11168568,1807319,16096544,29807,19872,9935,2,1.2,1.5,7754,190.6141546,464
11,315173,12878360,1945166,18470497,38048,25366,12682,2,1.2,1.5,10125,174.4478571,583
12,308637,11723348,1885851,16233562,29007,19338,9669,2,1.2,1.5,7405,133.730694,508
13,234331,11224521,1822845,15601894,26633,17756,8877,2,1.2,1.5,6887,136.2788059,399
14,207194,10475150,1650044,14840315,28143,18762,9381,2,1.2,1.5,7431,127.7157773,359
15,217998,11371280,1792984,15823140,29842,19895,9947,2,1.2,1.5,7942,176.849403,357
16,250605,12903594,2030178,17861387,33129,22086,11043,2,1.2,1.5,8885,271.7329457,424
17,327166,14770930,2307657,20930481,40291,26861,13430,2,1.2,1.5,11066,246.5079925,601
18,349208,11879525,1786146,17439820,38869,25913,12956,2,1.2,1.5,10098,168.4627327,599
19,287701,10604958,1647326,15575564,31621,21081,10540,2,1.2,1.5,8084,126.5103552,501
20,257167,9641269,1516848,13532653,23962,15975,7987,2,1.2,1.5,5889,107.3165442,383
21,231290,10030265,1604188,14423156,27739,18493,9246,2,1.2,1.5,7125,117.7025048,388
22,217865,11023791,1744871,15630527,30700,20467,10233,2,1.2,1.5,8196,118.6683634,397
23,322798,14187132,2201664,20046603,40237,26825,13412,2,1.2,1.5,11005,214.3670756,560
24,319383,14264294,2204624,20159803,40237,26825,13412,2,1.2,1.5,11044,210.9131245,578
25,338310,12508184,1925003,18359338,39124,26083,13041,2,1.2,1.5,10407,134.4433046,593
26,291219,10831855,1745699,15491035,29168,19446,9722,2,1.2,1.5,7397,87.389748,517
27,229711,10688768,1685619,14993628,26017,17345,8672,2,1.2,1.5,6741,93.27190004,376
28,222661,9734123,1532036,13880077,25907,17272,8635,2,1.2,1.5,6801,87.64443283,387
29,222015,11306884,1792779,15943424,30109,20073,10036,2,1.2,1.5,8042,128.8888087,399
30,240013,12210521,1911793,17129860,32539,21693,10846,2,1.2,1.5,8700,155.6335692,450
31,342180,14918559,2297203,21070921,40190,26794,13396,2,1.2,1.5,11011,237.3680528,609
,8441483,343225108,53768754,491137721,,,,,,,,,
,,0.024594596,,0.109477956,,,,,,,,,
